,category,system,instruction,context,question,response
3091,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Kids ko creativity kasari encourage garne?,"Kids ko creativity encourage garna uniharu lai drawing, crafting, ani storytelling ma involve garne. Open-ended toys jastai building blocks ya puzzles provide garne. Nature ma time spend garna le imagination ko scope badhaune huncha. Over-scheduling avoid garera free play ko lagi samaya rakhne. Praise ani encouragement le uniharuko confidence badhaune huncha."
3092,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Kathmandu Upatyaka ko sanskritik mahatwa bare lekhnu.,"Kathmandu Upatyaka UNESCO World Heritage Site ho. Yahaa Pashupatinath, Swayambhunath, ra Durbar Square haru chhan."
3093,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","Custom Orders: For personalized or made-to-order products, customers can track the progress in the 'Custom Orders' section under their account. Updates include 'Order Received,' 'In Production,' and 'Ready to Ship.' Notifications are sent via email at each stage. Custom orders typically take 7-10 days for completion.",Kasari custom order status ko update janna sakincha?,Custom order ko update janna 'Custom Orders' section ma hernus. Email bata production ra shipping ko updates pauncha.
3094,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Kathmandu is the capital of Nepal. It is known for its historical sites and cultural heritage.,Kathmandu ko baare ma jankari dinus.,"Kathmandu Nepal ko rajdhani ho, jasle historical sites jastai Durbar Square ra Pashupatinath ko laagi charcha paauchha."
3095,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko sabai bhanda badi jilla Rupandehi ho. Yo jilla Lumbini pradesh ma sthit cha, ra manavi hakko sanrakshan ko lagi prasiddha cha.",Nepal ko sabai bhanda badi jilla kahan cha?,Nepal ko sabai bhanda badi jilla Rupandehi ho.
3096,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The community organized a cleanup drive to make the park more beautiful and usable.,Samudaya le park safha garera ramailo banuna cleanup drive organize gare.
3097,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Eco-friendly lifestyle kasari adopt garne?,"Eco-friendly lifestyle adopt garna single-use plastic avoid garne, recycling practice garne ani green products choose garne parcha."
3098,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,72 lai 9 bata bhag garne ho bhane ke hune ho?,72 lai 9 bata bhag garne ho bhane 8 hune ho.
3099,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,"Janakpur ko mitho mithai haru ko naam sabai le sune ko chha. Lalmohan, malpua, ra rasbari yaha ko prakhyat mithai haru hun. Paryatak haru ko lagi yo pramukh akarshan ho.","Janakpur ko lalmohan, malpua, ra rasbari mitho mithai hun."
3100,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Email ID banaune process bataunuhos.,"Email ID banauna Gmail ya anya email provider ma januhos, 'Sign Up' ma click garera naam, username, password, ani anya janakari halera account kholnu hos."
3101,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,kina tension linchau?,Why do you stress out?
3102,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The scientist spent years researching a cure for the disease, dedicating every waking moment to the lab.","Scientist le rog ko upchar khojna barsa bitayo, harek jaga huney bela laboratory ma samarpit garyo."
3103,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,3 Idiots movie ma Rancho le sikai ekdam ramailo huncha bhancha. Aba rote sikne process chhodera practical knowledge ma focus garna bhancha. Usko lesson sabai student ko lagi useful chha.,3 Idiots ma Rancho le practical knowledge ma focus garna sikaucha.
3104,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali dharmik sthalamadhye ek ko naam ra usko mahatwa lekhnu.,"Muktinath Mandir Nepali dharmik sthalamadhye ek ho, jun Hindu ra Buddhist dharma ka anuyayi ko lagi pavitra thau ho."
3105,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Kathmandu dekhi Pokhara samma ko distance kati cha?,Kathmandu dekhi Pokhara samma ko distance karib 200 kilometers cha.
3106,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Mobile banking activate garne process batainus.,Nepal ma mobile banking kasari suru garna sakincha?,"Bank ma janus, mobile banking ko form fill garnus, ani activation code paunus."
3107,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","paani, doodh, chaamal, coke","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Chaamal piune kura hoina, aru tinwota piune kura hun."
3108,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The musician poured his heart into the performance, each note resonating deeply with the audience and leaving them in a state of awe.","Sangeetkar le afno man ra atma ko pure samarpan gari pradarshan ma lagaye, pratek sur sunne haru ko man ma gahiro asar paryo ra sabai adbhut ma basera sunirahe."
3109,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"He looked out the window, watching the busy street below.","U jhyal bata bahira hercha, tala bheed bhaako sadak herdai."
3110,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Birthday celebration special kasari banaune?,"Special banauna personalized gifts dinu, close friends invite garera ani unique theme rakhera celebrate garne parcha."
3111,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha traditional food Dal Bhat ho, jo Nepali cuisine ka main dish ho. Dal Bhat, rice aur lentil soup ko combination ho, ra Nepal ma har din khaya jaane food ho.",Nepal ko prasiddha traditional food k ho?,"Dal Bhat, Nepal ko prasiddha traditional food ho."
3112,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,"Ek din ek gaun ko budho manche le afno purano samay ko katha sunayo. Tyo katha ma unko sangharsha, unko shiksha, ra tyo shiksha bata paayeko anubhav le purai gaun ka manchhe haru prabhabit bhae.",Budho manche ko sangharsha ko katha le sabai prabhabit bhae.
3113,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Hami le return policy 7 din ko time frame ma define gareko cha. T-shirt ya anya product kharid gareko din dekhi 7 din bhitra return process start garna parcha. Product unused, tags lagayeko, ra original packaging ma hunuparcha. Refund ya exchange ko options cha.",T-shirt return garna kati din ko time cha?,T-shirt return garna 7 din ko time cha.
3114,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Required documents ko list dinus.,Nepal ma ghar jagga ko naamsari kasari garna sakincha?,"Land ownership certificate, citizenship card, ani local ward ko recommendation chahincha."
3115,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Pashupatinath kaha cha?,Kathmandu ma cha.
3116,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ma ek famous natural heritage site ko naam dinus.,Sagarmatha National Park.
3117,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Nepal ko sabai bhanda ramro dunga Rara Jheel ho. Yo dunga Mugu jilla ma sthit cha ra prakritik saundarya ko udaharan ho.,Nepal ko sabai bhanda ramro dunga kun ho?,Nepal ko sabai bhanda ramro dunga Rara Jheel ho.
3118,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Hamro meeting ko main agenda ma focus garna parcha.,We need to focus on the main agenda of our meeting.
3119,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Hamro new office setup aba complete bhayo.,Our new office setup is now complete.
3120,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Pustak lekhnalai prarambhik idea kasari suru garne?,"Pustak lekhnalai prarambhik idea ko lagi theme select garnuhos, outline banau, ra kahani ko mukhya charitra ra plot parichaya milaaunu hos."
3121,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Kids ko lagi outdoor games kina important huncha?,"Outdoor games kids ko physical health, jastai fitness ani strength, improve garna madad garcha. Team games le social skills ani collaboration sikna help garna sakcha. Natural environment ma time spend garera creativity ani stress management skills develop huncha. Games jastai football, cricket, ya cycling le exercise ko importance sikaucha. Regular games le uniharuko screen time pani minimize garna sakcha."
